id,dtegranted,code,objectid,applno,parties,typegroup,group4,dtepegged,group3,group2,commoditiescd,archived,renewal,areaunit,group5,acccode,comments,interest,type,statusgrp,status,guidshape,typecode,mapref,guidlicense,part,dteexpires,areavalue,dterenewal,jurisdic,respoffice,name,guidpart,region,oldcode,commodities,group1,dteapplied
596,2010-07-15T01:00:00,2776,62942,2776,SOCOMEX CONGO (100%),Recherches,,,,,,,1,Carré,,,,,Permis de Recherches (AS),Active,Actif-En cours de Transformation Partielle,9ee63c8c-e946-49ea-8d37-312fdb3632d5,PR (AS),"Congo, DRC; Katanga; Haut-Lomami; Malemba-Nkulu; S9/27",c91d90f7-a844-41ca-ba08-711d736d6ee0,Part 1,2015-07-14T01:00:00,130,,R.D. Congo,KIN,,9794b334-6916-4317-bceb-e45c27869059,Katanga,,,,2005-04-04T01:00:00
597,2010-05-28T01:00:00,11893,62943, 11893,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,75674863-74c4-4772-ae88-54a16fc5486b,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",006b97fb-b36e-43b5-90e0-e4486e7bc403,Part 1,2015-05-27T01:00:00,460,,R.D. Congo,KIN,,b7afb726-2cc6-430f-84da-a4dd5e1097fa,Kasai Occidental,,,,2010-01-20T09:00:35
598,2004-07-12T01:00:00,2445,62949,2445,LEDYA (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Renouvellement,4c3fa210-c8a3-452e-ad06-af0dd50abf6b,PR (AS),"Congo, DRC; Bas-Congo; Cataractes; Mbanza-Ngungu; S6/14",a9623d7d-70d7-432f-81d6-fccfdef13b71,Part 1,2009-07-11T01:00:00,228,,R.D. Congo,,,20b51682-0ca2-4f2c-bfd8-13bdae1da566,Bas-Congo,,,,2004-02-24T00:00:00
599,2006-10-10T01:00:00,2782,62956,2782,MASTERS (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,c50bbdc9-7444-42f5-8296-be358ce6a0bc,PR (AS),"Congo, DRC; N3/26, Province Orientale; Bas-Uele; Bambesa",828a4511-73af-46dd-8ea9-d66aa9b20adc,Part 1,2011-10-09T01:00:00,400,,R.D. Congo,,,fccaf3e1-2022-4e29-8750-1bd9b7d5bb9a,Province Orientale,,,,2005-04-04T01:00:00
600,2010-05-28T01:00:00,11896,62969,11896,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,346be092-2528-4fd9-be99-2bb97b30b12c,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",4a90eafe-d33c-4115-9da5-4d7367ee563c,Part 1,2015-05-27T01:00:00,471,,R.D. Congo,KIN,,f7f7063e-b965-48ff-8f7e-29113a77c1f9,Kasai Occidental,,,,2010-01-20T09:00:38
601,2010-04-13T01:00:00,694,62978,694,IVANPLATS DRC EXPLORATION SPRL (100%),Recherches,,,,,,,1,Carré,,,,,Permis de Recherches (AS),Active,Actif,73b22c6e-ea04-4b9a-ab03-66d170e0aef1,PR (AS),"Congo, DRC; Katanga; Haut-Katanga, Kolwezi; S12/25",7b3fb6cb-3092-4788-bb98-9fbf873a0049,Part 1,2015-04-12T01:00:00,222,,R.D. Congo,KIN,,2f5300de-8e77-4532-a010-3d0407ca5cc3,Katanga,,,,2003-05-19T01:00:00
602,2013-11-11T00:00:00,801,62986,801,IVANPLATS DRC EXPLORATION SPRL (100%),Recherches,,,,,,,2,Carré,,,,,Permis de Recherches (AS),Active,Actif-En cours de Renonciation totale,fd67b361-3869-4320-ae0d-216c97f24944,PR (AS),"Congo, DRC; Katanga; Kolwezi; Lubudi; S11/26",00a88068-9e47-44e9-a612-fdbecea2efe4,Part 1,2018-11-10T00:00:00,1,,R.D. Congo,KIN,,ac62d1a2-eeca-440a-85b8-d6759734a7cb,Katanga,,,,2003-06-25T01:00:00
603,2012-01-20T00:00:00,6928,63034,6928,GROUPE BAZANO (100%),Recherches,,,,,,,1,Carré,,,,,Permis de Recherches (AS),Active,Actif,8c1707e2-984d-4064-9da0-ac16248614e2,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kasenga; S11/27",8563b206-7d14-4f77-8d2f-bb4dba1e632a,Part 1,2017-01-19T00:00:00,18,,R.D. Congo,KIN,,d10470c0-c9d9-4cc0-8269-cbcd00aa196b,Katanga,,,,2006-10-30T00:00:00
604,2010-05-29T01:00:00,11897,63036, 11897,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,39a20430-f220-4ebf-b96d-fec4e9aa4565,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",62d262fb-47a7-43e1-9b2d-20ef587f0aaf,Part 1,2015-05-28T01:00:00,460,,R.D. Congo,KIN,,86fb40b9-a645-4433-bff2-569ee2485ba4,Kasai Occidental,,,,2010-01-20T09:00:39
605,2010-05-28T01:00:00,11900,63037, 11900,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,78ad8ca1-4a8f-4698-9fcf-291786c1a830,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",46fa49c1-bef7-4902-82c7-a0f4451ef4e2,Part 1,2015-05-27T01:00:00,471,,R.D. Congo,KIN,,da1271b8-13d5-4430-bff3-8c725f33905c,Kasai Occidental,,,,2010-01-20T09:00:41
