id,status,dtegranted,archived,code,LayerName,objectid,areaunit,dteapplied,LayerID,commodities,part,parties,dteexpires,areavalue,type,commoditiescd
1689,Active,2012-08-17T01:00:00,False,PML003769EZ,Active PML Licenses,70615,Hectares,2012-02-20T12:50:00,4,Gold,Part 1,"Nassoro Issa (33%), Mwamvita.A. Munga (33%), Salim Mohamedi (33%)",2019-08-16T01:00:00,9.44,Primary Mining Licence - All Minerals other than Building Material,Au
1690,Active,2012-07-03T01:00:00,False,PML001121NZ,Active PML Licenses,70619,Hectares,2012-03-28T10:00:00,4,Gold,Part 1,Mary Luckmay (100%),2019-07-02T01:00:00,7.99,Primary Mining Licence - All Minerals other than Building Material,Au
1691,Active,2012-12-13T00:00:00,False,PML000194CWZ,Active PML Licenses,70637,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2019-12-12T00:00:00,2.72,Primary Mining Licence - All Minerals other than Building Material,Au
1692,Active,2011-04-28T01:00:00,False,PML000013SWZ,Active PML Licenses,70638,Hectares,2011-03-14T07:30:00,4,Gold,Part 1,Lake Zone Product (T) Limited (100%),2018-04-27T01:00:00,9.32,Primary Mining Licence - All Minerals other than Building Material,Au
1693,Active,2011-07-05T01:00:00,False,PML000088SWZ,Active PML Licenses,70639,Hectares,2011-01-24T10:20:00,4,Iron,Part 1,"Isaya Tamson Mwansongole (14%), Oscar Obed Pelesi (14%), Rehema Ahmadi Mvumbagu (14%), Nsubili Banunu Mwankusye (14%), Woinde Muro (14%), Daniel J. Musokwa (14%), Anaty Kalolo (14%)",2018-07-04T01:00:00,6.84,Primary Mining Licence - All Minerals other than Building Material,Fe
1694,Active,2011-12-13T00:00:00,False,PML00191CWZ,Active PML Licenses,70641,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2018-12-12T00:00:00,5.49,Primary Mining Licence - All Minerals other than Building Material,Au
1695,Active,2011-12-13T00:00:00,False,PML000208CWZ,Active PML Licenses,70642,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2018-12-12T00:00:00,4.28,Primary Mining Licence - All Minerals other than Building Material,Au
1696,Active,2011-07-05T01:00:00,False,PML000089SWZ,Active PML Licenses,70643,Hectares,2011-01-24T10:20:00,4,Iron,Part 1,"Isaya Tamson Mwansongole (14%), Oscar Obed Pelesi (14%), Rehema Ahmadi Mvumbagu (14%), Nsubili Banunu Mwankusye (14%), Woinde Muro (14%), Daniel J. Musokwa (14%), Anaty Kalolo (14%)",2018-07-04T01:00:00,9.48,Primary Mining Licence - All Minerals other than Building Material,Fe
1697,Active,2011-12-13T00:00:00,False,PML000192CWZ,Active PML Licenses,70644,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2018-12-12T00:00:00,5.57,Primary Mining Licence - All Minerals other than Building Material,Au
1698,Active,2011-12-13T00:00:00,False,PML000193CWZ,Active PML Licenses,70645,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2018-12-12T00:00:00,5.52,Primary Mining Licence - All Minerals other than Building Material,Au
1699,Active,2011-12-13T00:00:00,False,PML000195CWZ,Active PML Licenses,70647,Hectares,2011-03-01T07:30:00,4,Gold,Part 1,Soukaina Hassan Gullam (100%),2018-12-12T00:00:00,4.61,Primary Mining Licence - All Minerals other than Building Material,Au
