id,status,dtegranted,code,objectid,dteapplied,LayerID,commodities,parties,dteexpires,LayerName,type,commoditiescd
142,Active,2012-06-22T01:00:00,330,1076,2009-09-07T11:42:49,0,"NON PRECIOUS MINERALS, PRECIOUS METALS",Wise Consult Africa Ltd (100%),2014-06-21T01:00:00,Active EPL/SPL,Special Prospecting License,"NON, PM"
143,Active,1987-10-01T01:00:00,112,1102,1987-01-17T08:11:35,0,SILICA SAND (SILICA),EASTERN CHEMICAL INDUSTRIES LTD (100%),2012-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,QD
144,Active,1987-10-01T01:00:00,112,1103,1987-01-17T08:11:35,0,SILICA SAND (SILICA),EASTERN CHEMICAL INDUSTRIES LTD (100%),2012-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,QD
145,Active,1987-10-01T01:00:00,112,1104,1987-01-17T08:11:35,0,SILICA SAND (SILICA),EASTERN CHEMICAL INDUSTRIES LTD (100%),2012-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,QD
146,Active,1987-10-01T01:00:00,112,1105,1987-01-17T08:11:35,0,SILICA SAND (SILICA),EASTERN CHEMICAL INDUSTRIES LTD (100%),2012-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,QD
147,Active,2008-10-06T01:00:00,267,1114,2007-05-16T12:30:00,0,"BASE MINERALS, PRECIOUS METALS",GOLD RIM EXPLORATION KENYA LTD (100%),2014-10-05T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, PM"
148,Active,2008-11-20T00:00:00,274,1218,2007-10-18T13:10:00,0,NON PRECIOUS MINERALS,ATHI RIVER MINING LTD (100%),2014-11-30T00:00:00,Active EPL/SPL,Special Prospecting License,NON
149,Active,2008-01-24T00:00:00,253,1247,1987-06-25T13:09:35,0,"SILICA SAND (GENERAL), SILICA SAND (SILICA)",Central Glass Industries Ltd (100%),2013-12-31T00:00:00,Active EPL/SPL,Special Prospecting License,"Q, QD"
150,Active,2013-04-03T01:00:00,591,1249,2003-07-17T11:49:14,0,NON PRECIOUS MINERALS,Savana Gemstones Ltd (100%),2015-04-02T01:00:00,Active EPL/SPL,Special Prospecting License,NON
151,Active,,346,1273,2013-01-08T14:35:18,0,GEMSTONES EXCEPT DIAMONDS,NDIKAM MINES LTD (100%),,Active EPL/SPL,Special Prospecting License,GS
152,Active,2012-06-29T01:00:00,214,1339,2004-08-10T10:00:00,0,ALL MINERALS,B & M MINING COMPANY LTD (100%),2014-06-28T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
153,Active,2010-01-22T00:00:00,287,1349,2010-01-01T09:00:00,0,PRECIOUS METALS,ABBA MINING COMPANY LTD (100%),2024-01-21T00:00:00,Active EPL/SPL,Special Prospecting License,PM
154,Active,2011-06-28T01:00:00,310 'B',1350,2010-05-17T11:30:00,0,"BASE MINERALS, MANGANESE",STOUT MINMETALS LTD (100%),2013-06-27T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, Mn"
155,Active,2011-06-28T01:00:00,310A,1351,2010-05-17T11:30:00,0,"BASE MINERALS, MANGANESE",ADIEL GITARI TANA (100%),2013-06-27T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, Mn"
156,Active,2013-01-03T00:00:00,341,1352,2011-05-03T13:36:00,0,"GOLD, IRON ORE, NON PRECIOUS MINERALS",ZHEN HUA COMPANY LTD (100%),2015-01-02T00:00:00,Active EPL/SPL,Special Prospecting License,"Au, Fe, NON"
157,Active,2003-07-01T01:00:00,213,1353,2003-01-01T09:00:00,0,ALL MINERALS,AFRIORE INTERNATIONAL (BARBADOS) LTD (100%),2016-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
158,Revocation Pending,2013-05-14T01:00:00,359,1354,2013-01-28T10:28:00,0,INDUSTRIAL MINERALS,COLLIN KIPRONO BETT (100%),2015-05-13T01:00:00,Active EPL/SPL,Special Prospecting License,IND
159,Revocation Pending,2013-05-15T01:00:00,363,1359,2013-01-29T09:00:00,0,"BASE MINERALS, PRECIOUS METALS",ALISON HOLDINGS LTD (100%),2015-05-14T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, PM"
160,Revocation Pending,2013-05-14T01:00:00,360,1360,2012-03-13T10:30:00,0,INDUSTRIAL MINERALS,AFRICAN LINE TRANPORT CO. LTD (100%),2015-05-13T01:00:00,Active EPL/SPL,Special Prospecting License,IND
161,Revocation Pending,2013-04-30T01:00:00,361,1361,2012-12-24T09:38:21,0,ALL MINERALS,Super Grow Ltd (100%),2015-04-29T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
162,Active,2010-07-01T01:00:00,91B,1368,2000-09-05T13:21:04,0,GOLD,International Gold Exploration Kenya Limited (100%),2014-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,Au
163,Active,2003-11-01T00:00:00,L26,352,1999-11-05T14:35:04,1,"NON PRECIOUS MINERALS, PRECIOUS METALS",ELBA MINES LTD (100%),2012-09-13T01:00:00,Active Mining Leases,Mining Lease,"NON, PM"
164,Active,2003-11-01T00:00:00,L26,353,1999-11-05T14:35:04,1,"NON PRECIOUS MINERALS, PRECIOUS METALS",ELBA MINES LTD (100%),2012-09-13T01:00:00,Active Mining Leases,Mining Lease,"NON, PM"
165,Active,2003-11-01T00:00:00,L26,354,1999-11-05T14:35:04,1,"NON PRECIOUS MINERALS, PRECIOUS METALS",ELBA MINES LTD (100%),2012-09-13T01:00:00,Active Mining Leases,Mining Lease,"NON, PM"
166,Active,1997-04-02T01:00:00,L 20,487,1997-01-01T09:00:00,1,GEMSTONES EXCEPT DIAMONDS,BRIDGES EXPLORATION LIMITED (100%),2018-04-01T01:00:00,Active Mining Leases,Mining Lease,GS
167,Active,1997-04-02T01:00:00,21,1017,1974-12-20T14:34:11,1,FLUORSPAR,Kenya Fluorspar Limited (100%),2018-03-31T01:00:00,Active Mining Leases,Mining Lease,F
168,Active,2009-06-24T01:00:00,25,1140,2004-04-19T11:34:33,1,"GEMSTONES EXCEPT DIAMONDS, PRECIOUS METALS",ROLLING HILLS LTD (100%),2050-06-23T00:00:00,Active Mining Leases,Mining Lease,"GS, PM"
169,Active,1998-12-01T00:00:00,22,1341,1998-07-01T10:00:00,1,CARBON DIOXIDE,BOC Kenya Ltd (100%),2019-11-30T00:00:00,Active Mining Leases,Mining Lease,CO2
170,Active,2010-11-27T00:00:00,2164/1-10,3,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
171,Active,2010-11-27T00:00:00,2167/1-10,5,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
172,Active,2010-11-27T00:00:00,2168/1-10,6,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
173,Active,2007-05-21T01:00:00,797/1,7,2007-05-24T14:50:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2012-05-20T01:00:00,Active Locations,Location Licenses,NON
174,Active,2007-05-23T01:00:00,798/1,8,2007-05-24T14:50:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2012-05-22T01:00:00,Active Locations,Location Licenses,NON
175,Active,2010-10-26T01:00:00,847/1-2,9,2010-11-09T12:00:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2012-10-25T01:00:00,Active Locations,Location Licenses,NON
176,Active,2010-11-27T00:00:00,2165/1-10,10,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
177,Active,2007-01-31T00:00:00,780/1-2,11,2007-02-13T16:00:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2013-01-30T00:00:00,Active Locations,Location Licenses,NON
178,Active,2007-01-31T00:00:00,781/1-2,12,2007-02-13T16:00:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2013-01-30T00:00:00,Active Locations,Location Licenses,NON
179,Active,2010-11-27T00:00:00,2169/1-10,13,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
180,Active,2005-03-25T00:00:00,1949/1,14,2005-04-04T11:20:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-03-24T00:00:00,Active Locations,Location Licenses,NON
181,Active,2005-03-25T00:00:00,1950/1,15,2005-04-04T11:20:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-03-24T00:00:00,Active Locations,Location Licenses,NON
182,Active,2005-03-25T00:00:00,1952/1,16,2005-04-04T11:20:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-03-24T00:00:00,Active Locations,Location Licenses,NON
183,Active,2008-02-15T00:00:00,1999/1-6,18,2008-02-25T10:00:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-02-14T00:00:00,Active Locations,Location Licenses,NON
184,Active,2007-01-31T00:00:00,779/1-2,19,2007-02-13T16:00:00,2,NON PRECIOUS MINERALS,JAMES KOORO MUGWUKU (100%),2013-01-30T00:00:00,Active Locations,Location Licenses,NON
185,Active,2005-03-25T00:00:00,1951/1,22,2005-04-04T11:20:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-03-24T00:00:00,Active Locations,Location Licenses,NON
186,Active,2008-02-15T00:00:00,1998/1-10,25,2008-02-25T10:00:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-02-14T00:00:00,Active Locations,Location Licenses,NON
187,Active,2010-11-27T00:00:00,2166/1-10,27,2010-11-29T14:23:00,2,MANGANESE,DEPARK RAVJI PATEL (100%),2013-11-30T00:00:00,Active Locations,Location Licenses,Mn
188,Active,2009-07-15T01:00:00,2187/1-9,29,2009-09-16T09:00:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-07-14T01:00:00,Active Locations,Location Licenses,NON
189,Active,2009-08-25T01:00:00,2137/1-2,34,2009-09-16T09:00:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2012-08-24T01:00:00,Active Locations,Location Licenses,NON
190,Active,2009-07-15T01:00:00,2188/1-9,35,2009-09-16T09:00:00,2,NON PRECIOUS MINERALS,EDITHA SAMREE LEWELA (100%),2013-07-14T01:00:00,Active Locations,Location Licenses,NON
191,Active,2008-11-06T00:00:00,2118/1,39,2009-07-23T12:00:00,2,NON PRECIOUS MINERALS,PENTAGON GEO-EXPLORATION (100%),2012-11-05T00:00:00,Active Locations,Location Licenses,NON
192,Active,2008-10-19T01:00:00,2053/1-10,41,2008-10-23T13:09:47,2,GEMSTONES EXCEPT DIAMONDS,SPARKLE INTERNATIONAL COMPANY LIMITED (100%),2012-10-18T01:00:00,Active Locations,Location Licenses,GS
193,Active,2003-07-22T01:00:00,1866/1-10,43,2003-07-24T16:00:00,2,GEMSTONES EXCEPT DIAMONDS,SULEIMAN KAHIHIA GIKONYO (100%),2013-03-21T00:00:00,Active Locations,Location Licenses,GS
194,Active,2003-07-22T01:00:00,1867/1-10,44,2003-07-24T16:00:00,2,GEMSTONES EXCEPT DIAMONDS,SULEIMAN KAHIHIA GIKONYO (100%),2013-03-21T00:00:00,Active Locations,Location Licenses,GS
195,Active,2008-10-20T01:00:00,2049/1-7,46,2008-11-05T12:20:30,2,GEMSTONES EXCEPT DIAMONDS,SPARKLE INTERNATIONAL COMPANY LIMITED (100%),2012-10-19T01:00:00,Active Locations,Location Licenses,GS
196,Active,2008-10-20T01:00:00,2050/1-10,47,2008-11-05T12:28:27,2,GEMSTONES EXCEPT DIAMONDS,SPARKLE INTERNATIONAL COMPANY LIMITED (100%),2012-10-19T01:00:00,Active Locations,Location Licenses,GS
